%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.transform.translation.x,field.transform.translation.y,field.transform.translation.z,field.transform.rotation.x,field.transform.rotation.y,field.transform.rotation.z,field.transform.rotation.w
1639666102101160835,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666110400274196,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666112735821660,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666115076622416,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666117534177580,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666119892247620,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666122264893674,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666124703419583,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666127040268410,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666129580089384,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666132112202796,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666134540602403,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666136959690422,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666139185251391,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666141610875970,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666143847216642,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666146069712212,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666148495243879,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666151128027321,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666153399288355,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666156047086351,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666157877700518,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666160501401719,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666162834182648,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666165074957508,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666167439459719,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666169687916647,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666172123242301,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666174353757569,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666176698783941,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666179033372001,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666181275715629,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666183544718437,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666203289809989,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666206238100181,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666208789439356,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666211436385691,0,0,,,-3.03047505459e-05,0.000171424454597,0.4,0.0,0.0,-3.56733798754e-05,0.999999999364
