%time,field.x,field.y,field.z,field.w
1639666102101045523,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666110400221545,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666112735766457,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666115076557675,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666117534077613,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666119892152145,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666122264839248,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666124703277457,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666127040073959,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666129580021935,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666132112152488,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666134540549837,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666136959622867,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666139185198952,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666141610821743,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666143847133507,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666146069658581,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666148495188296,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666151127931336,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666153399215476,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666156046987440,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666157877643744,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666160501345112,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666162834064701,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666165074775805,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666167439407892,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666169687847907,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666172123179267,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666174353678223,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666176698494337,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666179033319637,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666181275358529,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666183544659815,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666203289728653,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666206238023781,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666208789344671,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666211436317616,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666213689981629,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666216026133977,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666219112131985,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666221765421822,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666224088417204,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666226434455444,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666228958908666,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666231279808219,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666233908110665,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666236332177151,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666238652727447,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666240778299048,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666243014660023,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666245638876478,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666247883434247,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666250129715527,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666252464344313,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666254794788692,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666257523308002,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666260062270892,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666262503370860,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666265069401441,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666267429255493,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666269480407804,0.0,0.0,-3.56733798754e-05,0.999999999364
1639666271614144022,0.0,0.0,-3.56733798754e-05,0.999999999364
